"image_path","image_name","true_class","predicted_class","confidence_percent","correct_prediction"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-10-05-11-PM_png.rf.0bf20abc5b1e3ca7fe1c9196bbb99f28.jpg","Screen-Shot-2021-11-22-at-10-05-11-PM_png.rf.0bf20abc5b1e3ca7fe1c9196bbb99f28.jpg","blue_finger","clubbing","65.1","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-4-57-51-PM_png.rf.46cf65510fd6e06261f2232fc3d3fde4.jpg","Screen-Shot-2021-11-22-at-4-57-51-PM_png.rf.46cf65510fd6e06261f2232fc3d3fde4.jpg","blue_finger","clubbing","64.8","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-4-57-51-PM_png.rf.8591387bd0dccb9448b0fdee4e235da8.jpg","Screen-Shot-2021-11-22-at-4-57-51-PM_png.rf.8591387bd0dccb9448b0fdee4e235da8.jpg","blue_finger","clubbing","75.25","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-5-10-07-PM_png.rf.15ea6de8993357568365d6c4430f3c9a.jpg","Screen-Shot-2021-11-22-at-5-10-07-PM_png.rf.15ea6de8993357568365d6c4430f3c9a.jpg","blue_finger","clubbing","62.0","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-5-10-07-PM_png.rf.7e7c3891d9a2725b19470d79b43f20e5.jpg","Screen-Shot-2021-11-22-at-5-10-07-PM_png.rf.7e7c3891d9a2725b19470d79b43f20e5.jpg","blue_finger","clubbing","90.5","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-5-10-07-PM_png.rf.ada79554aca0a8499888c1d6555d77f5.jpg","Screen-Shot-2021-11-22-at-5-10-07-PM_png.rf.ada79554aca0a8499888c1d6555d77f5.jpg","blue_finger","clubbing","40.7","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-5-10-19-PM_png.rf.5d4de7ded1e3613e6827276b87e5d5b3.jpg","Screen-Shot-2021-11-22-at-5-10-19-PM_png.rf.5d4de7ded1e3613e6827276b87e5d5b3.jpg","blue_finger","clubbing","71.9","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-5-13-05-PM_png.rf.e31da9e3331ab64ed38a10a449ab7d74.jpg","Screen-Shot-2021-11-22-at-5-13-05-PM_png.rf.e31da9e3331ab64ed38a10a449ab7d74.jpg","blue_finger","clubbing","63.0","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-5-29-14-PM_png.rf.15cce7dd0f484d660ab9f35e058cee8f.jpg","Screen-Shot-2021-11-22-at-5-29-14-PM_png.rf.15cce7dd0f484d660ab9f35e058cee8f.jpg","blue_finger","clubbing","63.8","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-5-29-14-PM_png.rf.efebde858efc9bc940ec38a96bfb5924.jpg","Screen-Shot-2021-11-22-at-5-29-14-PM_png.rf.efebde858efc9bc940ec38a96bfb5924.jpg","blue_finger","clubbing","61.56","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-5-30-06-PM_png.rf.6dc63585e2d49da8d44ec68cfcd7a78b.jpg","Screen-Shot-2021-11-22-at-5-30-06-PM_png.rf.6dc63585e2d49da8d44ec68cfcd7a78b.jpg","blue_finger","clubbing","62.3","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-8-25-04-PM_png.rf.25d6e55cc5866bc4932c0790d5faeb07.jpg","Screen-Shot-2021-11-22-at-8-25-04-PM_png.rf.25d6e55cc5866bc4932c0790d5faeb07.jpg","blue_finger","clubbing","62.84","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-8-25-04-PM_png.rf.3287bc3f582441dd14a219a336e6de86.jpg","Screen-Shot-2021-11-22-at-8-25-04-PM_png.rf.3287bc3f582441dd14a219a336e6de86.jpg","blue_finger","clubbing","91.1","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-8-25-04-PM_png.rf.bb52a4eab69fcf78516f8fe9d59f8b64.jpg","Screen-Shot-2021-11-22-at-8-25-04-PM_png.rf.bb52a4eab69fcf78516f8fe9d59f8b64.jpg","blue_finger","clubbing","95.6","False"
"C:\Users\venka\Documents\Project\Nail-Condition-Classification\data\grouped_split\val\blue_finger\Screen-Shot-2021-11-22-at-8-55-16-PM_png.rf.a149ae43a76852d66a29bf40dfe26b80.jpg","Screen-Shot-2021-11-22-at-8-55-16-PM_png.rf.a149ae43a76852d66a29bf40dfe26b80.jpg","blue_finger","clubbing","68.1","False"
