bin_index,lower_bound,upper_bound,sample_count,average_confidence,accuracy,calibration_gap,model
1,0.0,0.1,0,,,,convnextv2_tiny
2,0.1,0.2,0,,,,convnextv2_tiny
3,0.2,0.30000000000000004,1,0.28096616,0.0,0.28096616,convnextv2_tiny
4,0.30000000000000004,0.4,0,,,,convnextv2_tiny
5,0.4,0.5,1,0.474475,0.0,0.474475,convnextv2_tiny
6,0.5,0.6000000000000001,0,,,,convnextv2_tiny
7,0.6000000000000001,0.7000000000000001,1,0.69446915,0.0,0.69446915,convnextv2_tiny
8,0.7000000000000001,0.8,0,,,,convnextv2_tiny
9,0.8,0.9,0,,,,convnextv2_tiny
10,0.9,1.0,68,0.9494974369117647,0.9852941176470589,0.035796680735294184,convnextv2_tiny
1,0.0,0.1,0,,,,densenet121
2,0.1,0.2,0,,,,densenet121
3,0.2,0.30000000000000004,0,,,,densenet121
4,0.30000000000000004,0.4,0,,,,densenet121
5,0.4,0.5,0,,,,densenet121
6,0.5,0.6000000000000001,1,0.5747407,1.0,0.4252593,densenet121
7,0.6000000000000001,0.7000000000000001,2,0.64953218,0.5,0.14953218000000001,densenet121
8,0.7000000000000001,0.8,3,0.7603492233333333,1.0,0.23965077666666668,densenet121
9,0.8,0.9,13,0.8694246884615383,1.0,0.1305753115384617,densenet121
10,0.9,1.0,52,0.9357434425,0.9615384615384616,0.025795019038461597,densenet121
1,0.0,0.1,0,,,,efficientnet_b0
2,0.1,0.2,0,,,,efficientnet_b0
3,0.2,0.30000000000000004,0,,,,efficientnet_b0
4,0.30000000000000004,0.4,1,0.38250813,0.0,0.38250813,efficientnet_b0
5,0.4,0.5,3,0.46566176666666664,0.0,0.46566176666666664,efficientnet_b0
6,0.5,0.6000000000000001,1,0.5974604,0.0,0.5974604,efficientnet_b0
7,0.6000000000000001,0.7000000000000001,2,0.64855376,1.0,0.35144624,efficientnet_b0
8,0.7000000000000001,0.8,0,,,,efficientnet_b0
9,0.8,0.9,13,0.864414010769231,1.0,0.13558598923076903,efficientnet_b0
10,0.9,1.0,51,0.9466029698039214,1.0,0.053397030196078554,efficientnet_b0
1,0.0,0.1,0,,,,proposed_attention_efficientnet_b0
2,0.1,0.2,0,,,,proposed_attention_efficientnet_b0
3,0.2,0.30000000000000004,0,,,,proposed_attention_efficientnet_b0
4,0.30000000000000004,0.4,0,,,,proposed_attention_efficientnet_b0
5,0.4,0.5,0,,,,proposed_attention_efficientnet_b0
6,0.5,0.6000000000000001,2,0.52973929,0.5,0.029739289999999974,proposed_attention_efficientnet_b0
7,0.6000000000000001,0.7000000000000001,0,,,,proposed_attention_efficientnet_b0
8,0.7000000000000001,0.8,1,0.7099145,1.0,0.2900855,proposed_attention_efficientnet_b0
9,0.8,0.9,4,0.8380787774999999,1.0,0.16192122250000007,proposed_attention_efficientnet_b0
10,0.9,1.0,64,0.995548205625,0.96875,0.026798205625000016,proposed_attention_efficientnet_b0
