comparison,source_name,splits,classes,number_of_images
train_vs_test,1124-Subungual_Melanoma-642x361-slide3_jpg,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,116_JPG,"test, train",pitting,3
train_vs_test,119_jpg,"test, train",pitting,3
train_vs_test,11_png,"test, train",pitting,3
train_vs_test,124_JPG,"test, train",pitting,3
train_vs_test,126_JPG,"test, train",pitting,3
train_vs_test,127_JPG,"test, train",pitting,3
train_vs_test,133_JPG,"test, train",pitting,3
train_vs_test,135_JPG,"test, train",pitting,3
train_vs_test,138_JPG,"test, train",pitting,3
train_vs_test,139_jpg,"test, train",pitting,3
train_vs_test,149_JPG,"test, train",pitting,3
train_vs_test,151_JPG,"test, train",pitting,3
train_vs_test,159_JPG,"test, train",pitting,3
train_vs_test,160_JPG,"test, train",pitting,3
train_vs_test,164_JPG,"test, train",pitting,3
train_vs_test,166_jpg,"test, train",pitting,2
train_vs_test,167_jpg,"test, train",pitting,2
train_vs_test,170_jpg,"test, train",pitting,3
train_vs_test,175_jpg,"test, train",pitting,2
train_vs_test,176_JPG,"test, train",pitting,3
train_vs_test,17_JPG,"test, train",pitting,3
train_vs_test,182_JPG,"test, train",pitting,3
train_vs_test,187_JPG,"test, train",pitting,3
train_vs_test,191_JPG,"test, train",pitting,2
train_vs_test,193_JPG,"test, train",pitting,3
train_vs_test,194_JPG,"test, train",pitting,3
train_vs_test,197_JPG,"test, train",pitting,3
train_vs_test,204_JPG,"test, train",pitting,3
train_vs_test,206_JPG,"test, train",pitting,2
train_vs_test,209_JPG,"test, train",pitting,3
train_vs_test,210_JPG,"test, train",pitting,3
train_vs_test,217_JPG,"test, train",pitting,3
train_vs_test,21_JPG,"test, train",pitting,3
train_vs_test,220_JPG,"test, train",pitting,3
train_vs_test,223_JPG,"test, train",pitting,3
train_vs_test,227_JPG,"test, train",pitting,2
train_vs_test,230_jpg,"test, train",pitting,3
train_vs_test,235_JPG,"test, train",pitting,3
train_vs_test,236_jpg,"test, train",pitting,3
train_vs_test,238_JPG,"test, train",pitting,3
train_vs_test,241_JPG,"test, train",pitting,3
train_vs_test,243_jpg,"test, train",pitting,3
train_vs_test,247_JPG,"test, train",pitting,3
train_vs_test,251_JPG,"test, train",pitting,3
train_vs_test,265_jpg,"test, train",pitting,3
train_vs_test,266_JPG,"test, train",pitting,2
train_vs_test,268_JPG,"test, train",pitting,2
train_vs_test,273_JPG,"test, train",pitting,3
train_vs_test,27_JPG,"test, train",pitting,2
train_vs_test,283_JPG,"test, train",pitting,3
train_vs_test,289_jpg,"test, train",pitting,3
train_vs_test,307_jpg,"test, train",pitting,2
train_vs_test,309_JPG,"test, train",pitting,3
train_vs_test,318_JPG,"test, train",pitting,3
train_vs_test,32_JPG,"test, train",pitting,3
train_vs_test,3537c880a6f711e688859b4b6be08695-Fig_3A_red-purple_discoloration_JPG,"test, train",blue_finger,3
train_vs_test,35_JPG,"test, train",pitting,3
train_vs_test,36_JPG,"test, train",pitting,3
train_vs_test,37_JPG,"test, train",pitting,3
train_vs_test,4229e494114681c808066e262f2f82ad1c89676d_jpg,"test, train",Acral_Lentiginous_Melanoma,3
train_vs_test,42_JPG,"test, train",pitting,3
train_vs_test,50_JPG,"test, train",pitting,3
train_vs_test,52_JPG,"test, train",pitting,2
