filepath,filename,class,width,height,format,file_size_kb,sha256,split
C:\Users\venka\Documents\Project\data\extracted\data\train\Onychogryphosis\Screenshot-2021-11-19-021939_png.rf.a831202aa97a86131fc98799aa141d5d.jpg,Screenshot-2021-11-19-021939_png.rf.a831202aa97a86131fc98799aa141d5d.jpg,Onychogryphosis,416,416,JPEG,12.77,26de8bb85be99d1d317b62cafbb3e4153702877086d4e82aeeae5fbd3c6025e7,train
C:\Users\venka\Documents\Project\data\extracted\data\train\pitting\219_jpg.rf.00857298f628d88ffae1cec355eb7783.jpg,219_jpg.rf.00857298f628d88ffae1cec355eb7783.jpg,pitting,416,416,JPEG,14.64,3e5a8f03eb7d5505de7ffbcb6d0e13074606139ea7faa5c9f915dcf7bb5412c1,train
C:\Users\venka\Documents\Project\data\extracted\data\train\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-19-at-12-55-39-AM_png.rf.3f382c20cdd7b5bab086cbda3732aca3.jpg,Screen-Shot-2021-11-19-at-12-55-39-AM_png.rf.3f382c20cdd7b5bab086cbda3732aca3.jpg,Acral_Lentiginous_Melanoma,416,416,JPEG,12.02,97b0bfcdc3e389ef70c3c6305c07d6b7e8e6221d687aac6fa6979c6ec6d847fc,train
C:\Users\venka\Documents\Project\data\extracted\data\train\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-8-00-54-PM_png.rf.ba0dc8d9513779f99b5c5bb4722656dc.jpg,Screen-Shot-2021-11-20-at-8-00-54-PM_png.rf.ba0dc8d9513779f99b5c5bb4722656dc.jpg,Acral_Lentiginous_Melanoma,416,416,JPEG,15.83,a8f4cc70a16ed4a6407686052c9258a7c648ad30805f15d8f73d18f0ba8aff45,train
C:\Users\venka\Documents\Project\data\extracted\data\train\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-16-at-7-11-18-PM_png.rf.70f45d1082d2f646186d2e2d62720656.jpg,Screen-Shot-2021-11-16-at-7-11-18-PM_png.rf.70f45d1082d2f646186d2e2d62720656.jpg,Acral_Lentiginous_Melanoma,416,416,JPEG,11.27,c82bb530f900d071bb04ec75e4792f3970d1cca2931acf76d95e1ad7cbe7a443,train
C:\Users\venka\Documents\Project\data\extracted\data\train\Onychogryphosis\Screenshot-2021-11-19-015637_png.rf.f0d88e4bde02149243538607911bed75.jpg,Screenshot-2021-11-19-015637_png.rf.f0d88e4bde02149243538607911bed75.jpg,Onychogryphosis,416,416,JPEG,13.59,d7d726438edae2bf6137467c8039810293cfed02e0f90b889c2a5a4f0e88b6db,train
C:\Users\venka\Documents\Project\data\extracted\data\train\Onychogryphosis\Screenshot-2021-11-19-010315_png.rf.d3db7eaf1922f15d76c40914902f0cf2.jpg,Screenshot-2021-11-19-010315_png.rf.d3db7eaf1922f15d76c40914902f0cf2.jpg,Onychogryphosis,416,416,JPEG,15.52,b6e1cc9ec90cda4377825a03cb92db0249bc82448e706f6cd6e318894f574999,train
C:\Users\venka\Documents\Project\data\extracted\data\train\Onychogryphosis\Screenshot-2021-11-21-231633_png.rf.2d43562fb693a0c11c9d56eb8a52a6b0.jpg,Screenshot-2021-11-21-231633_png.rf.2d43562fb693a0c11c9d56eb8a52a6b0.jpg,Onychogryphosis,416,416,JPEG,18.59,1ba6f297329d38e9b669bc783a5b3a0ad1eaddd644b257c7dc795204f7ab2dea,train
C:\Users\venka\Documents\Project\data\extracted\data\validation\Healthy_Nail\h41_png.rf.e4128998582761f8a7ce0571c70bec8e.jpg,h41_png.rf.e4128998582761f8a7ce0571c70bec8e.jpg,Healthy_Nail,416,416,JPEG,53.04,69b0910765eca18934553ea13f1971c8381a86819d0981dca90bf80a0f265ec6,train
C:\Users\venka\Documents\Project\data\extracted\data\train\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-10-05-38-PM_png.rf.9d540b6722ab1f91618ff8c12981e803.jpg,Screen-Shot-2021-11-20-at-10-05-38-PM_png.rf.9d540b6722ab1f91618ff8c12981e803.jpg,Acral_Lentiginous_Melanoma,416,416,JPEG,10.55,0552a7dd731df080e89820d5188b5f94490d6e80666753d4501822063e5748a7,train
C:\Users\venka\Documents\Project\data\extracted\data\train\Acral_Lentiginous_Melanoma\978-3-319-65649-6_2_Fig6_HTML_png.rf.4aa6947b826055c06936954d5def62b7.jpg,978-3-319-65649-6_2_Fig6_HTML_png.rf.4aa6947b826055c06936954d5def62b7.jpg,Acral_Lentiginous_Melanoma,416,416,JPEG,17.29,b95451e01f6ddaf095703e958de966cb31118f18bfbb6a18a560c128908b0776,train
C:\Users\venka\Documents\Project\data\extracted\data\train\clubbing\Screen-Shot-2021-11-22-at-8-28-22-AM_png.rf.912dbc855daf956eaefd0814c273c499.jpg,Screen-Shot-2021-11-22-at-8-28-22-AM_png.rf.912dbc855daf956eaefd0814c273c499.jpg,clubbing,416,416,JPEG,13.58,cd2e347da2f745f3f623be4084a5ff9f90b35471530d69fd84ea920b1d052f38,train
C:\Users\venka\Documents\Project\data\extracted\data\train\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-10-29-37-PM_png.rf.2ac01f174c607bd8a5d6ace326e6c00d.jpg,Screen-Shot-2021-11-20-at-10-29-37-PM_png.rf.2ac01f174c607bd8a5d6ace326e6c00d.jpg,Acral_Lentiginous_Melanoma,416,416,JPEG,12.42,9ac40321a66c45ba08281528e7d9b0765ac1c084d97fd8ff048f6e2622699ff4,train
