source_name,true_class,total_variants,correct_variants,incorrect_variants,source_accuracy_percent,majority_prediction,majority_vote_correct,average_confidence_percent,source_status
Screen-Shot-2021-11-22-at-5-10-07-PM_png,blue_finger,3,0,3,0.0,clubbing,False,64.39999999999999,ALL_INCORRECT
Screen-Shot-2021-11-22-at-8-19-18-PM_png,blue_finger,3,0,3,0.0,Acral_Lentiginous_Melanoma,False,44.169999999999995,ALL_INCORRECT
Screen-Shot-2021-11-22-at-8-25-04-PM_png,blue_finger,3,0,3,0.0,clubbing,False,83.17999999999999,ALL_INCORRECT
Screenshot-2021-11-21-232620_png,Onychogryphosis,3,0,3,0.0,Acral_Lentiginous_Melanoma,False,61.73666666666666,ALL_INCORRECT
Screen-Shot-2021-11-20-at-8-10-25-PM_png,Acral_Lentiginous_Melanoma,3,1,2,33.33333333333333,blue_finger,False,41.77333333333333,MIXED
Screen-Shot-2021-11-22-at-4-57-51-PM_png,blue_finger,3,1,2,33.33333333333333,clubbing,False,74.35000000000001,MIXED
Screen-Shot-2021-11-22-at-5-29-14-PM_png,blue_finger,3,1,2,33.33333333333333,clubbing,False,64.52,MIXED
images--7hiLgj_jpeg,Onychogryphosis,3,1,2,33.33333333333333,Acral_Lentiginous_Melanoma,False,63.72,MIXED
h142_png,Healthy_Nail,2,1,1,50.0,Healthy_Nail,True,76.45,MIXED
h236_png,Healthy_Nail,2,1,1,50.0,clubbing,False,89.25,MIXED
h56_png,Healthy_Nail,2,1,1,50.0,Healthy_Nail,True,83.5,MIXED
185_jpg,pitting,3,2,1,66.66666666666666,pitting,True,74.05333333333334,MIXED
74_JPG,pitting,3,2,1,66.66666666666666,pitting,True,60.0,MIXED
Screen-Shot-2021-11-16-at-10-36-05-PM_png,Onychogryphosis,3,2,1,66.66666666666666,Onychogryphosis,True,66.95,MIXED
Screen-Shot-2021-11-19-at-1-24-44-AM_png,Acral_Lentiginous_Melanoma,3,2,1,66.66666666666666,Acral_Lentiginous_Melanoma,True,69.76666666666667,MIXED
Screen-Shot-2021-11-19-at-1-36-14-AM_png,Acral_Lentiginous_Melanoma,3,2,1,66.66666666666666,Acral_Lentiginous_Melanoma,True,74.2,MIXED
Screen-Shot-2021-11-20-at-8-10-21-PM_png,Acral_Lentiginous_Melanoma,3,2,1,66.66666666666666,Acral_Lentiginous_Melanoma,True,64.05666666666666,MIXED
Screen-Shot-2021-11-20-at-8-18-10-PM_png,Acral_Lentiginous_Melanoma,3,2,1,66.66666666666666,Acral_Lentiginous_Melanoma,True,81.0,MIXED
Screen-Shot-2021-11-22-at-10-05-11-PM_png,blue_finger,3,2,1,66.66666666666666,blue_finger,True,63.42666666666667,MIXED
Screen-Shot-2021-11-22-at-5-10-19-PM_png,blue_finger,3,2,1,66.66666666666666,blue_finger,True,73.18,MIXED
Screen-Shot-2021-11-22-at-5-13-05-PM_png,blue_finger,3,2,1,66.66666666666666,blue_finger,True,66.63333333333334,MIXED
