true_class,predicted_class,error_count,average_confidence_percent,minimum_confidence_percent,maximum_confidence_percent
Healthy_Nail,clubbing,1,80.75,80.75,80.75
blue_finger,clubbing,15,69.23666666666666,40.7,95.6
Healthy_Nail,Acral_Lentiginous_Melanoma,1,69.1,69.1,69.1
Onychogryphosis,Acral_Lentiginous_Melanoma,5,68.33,49.3,85.94
Onychogryphosis,clubbing,1,62.0,62.0,62.0
Onychogryphosis,pitting,1,61.2,61.2,61.2
Acral_Lentiginous_Melanoma,blue_finger,4,57.105000000000004,36.34,76.9
Healthy_Nail,pitting,1,53.84,53.84,53.84
Acral_Lentiginous_Melanoma,pitting,1,53.56,53.56,53.56
Acral_Lentiginous_Melanoma,clubbing,2,51.75,40.28,63.22
blue_finger,Healthy_Nail,1,46.38,46.38,46.38
pitting,blue_finger,2,44.775,40.75,48.8
blue_finger,Acral_Lentiginous_Melanoma,2,43.065,35.53,50.6
