source_name,true_class,total_variants,correct_variants,incorrect_variants,source_accuracy_percent,majority_prediction,majority_vote_correct,unique_predictions,prediction_distribution,average_confidence_percent,minimum_confidence_percent,maximum_confidence_percent
Screen-Shot-2021-11-22-at-5-10-07-PM_png,blue_finger,3,0,3,0.0,clubbing,False,1,{'clubbing': 3},64.39999999999999,40.7,90.5
Screen-Shot-2021-11-22-at-8-19-18-PM_png,blue_finger,3,0,3,0.0,Acral_Lentiginous_Melanoma,False,2,"{'Acral_Lentiginous_Melanoma': 2, 'Healthy_Nail': 1}",44.169999999999995,35.53,50.6
Screen-Shot-2021-11-22-at-8-25-04-PM_png,blue_finger,3,0,3,0.0,clubbing,False,1,{'clubbing': 3},83.17999999999999,62.84,95.6
Screenshot-2021-11-21-232620_png,Onychogryphosis,3,0,3,0.0,Acral_Lentiginous_Melanoma,False,1,{'Acral_Lentiginous_Melanoma': 3},61.73666666666666,49.3,81.75
Screen-Shot-2021-11-20-at-8-10-25-PM_png,Acral_Lentiginous_Melanoma,3,1,2,33.33333333333333,blue_finger,False,2,"{'blue_finger': 2, 'Acral_Lentiginous_Melanoma': 1}",41.77333333333333,36.34,46.28
Screen-Shot-2021-11-22-at-4-57-51-PM_png,blue_finger,3,1,2,33.33333333333333,clubbing,False,2,"{'clubbing': 2, 'blue_finger': 1}",74.35000000000001,64.8,83.0
Screen-Shot-2021-11-22-at-5-29-14-PM_png,blue_finger,3,1,2,33.33333333333333,clubbing,False,2,"{'clubbing': 2, 'blue_finger': 1}",64.52,61.56,68.2
images--7hiLgj_jpeg,Onychogryphosis,3,1,2,33.33333333333333,Acral_Lentiginous_Melanoma,False,2,"{'Acral_Lentiginous_Melanoma': 2, 'Onychogryphosis': 1}",63.72,34.72,85.94
h142_png,Healthy_Nail,2,1,1,50.0,Healthy_Nail,True,2,"{'Healthy_Nail': 1, 'pitting': 1}",76.45,53.84,99.06
h236_png,Healthy_Nail,2,1,1,50.0,clubbing,False,2,"{'clubbing': 1, 'Healthy_Nail': 1}",89.25,80.75,97.75
h56_png,Healthy_Nail,2,1,1,50.0,Healthy_Nail,True,2,"{'Healthy_Nail': 1, 'Acral_Lentiginous_Melanoma': 1}",83.5,69.1,97.9
185_jpg,pitting,3,2,1,66.66666666666666,pitting,True,2,"{'pitting': 2, 'blue_finger': 1}",74.05333333333334,48.8,92.06
74_JPG,pitting,3,2,1,66.66666666666666,pitting,True,2,"{'pitting': 2, 'blue_finger': 1}",60.0,40.75,71.25
Screen-Shot-2021-11-16-at-10-36-05-PM_png,Onychogryphosis,3,2,1,66.66666666666666,Onychogryphosis,True,2,"{'Onychogryphosis': 2, 'clubbing': 1}",66.95,54.25,84.6
Screen-Shot-2021-11-19-at-1-24-44-AM_png,Acral_Lentiginous_Melanoma,3,2,1,66.66666666666666,Acral_Lentiginous_Melanoma,True,2,"{'Acral_Lentiginous_Melanoma': 2, 'pitting': 1}",69.76666666666667,53.56,85.44
Screen-Shot-2021-11-19-at-1-36-14-AM_png,Acral_Lentiginous_Melanoma,3,2,1,66.66666666666666,Acral_Lentiginous_Melanoma,True,2,"{'Acral_Lentiginous_Melanoma': 2, 'blue_finger': 1}",74.2,67.8,85.9
Screen-Shot-2021-11-20-at-8-10-21-PM_png,Acral_Lentiginous_Melanoma,3,2,1,66.66666666666666,Acral_Lentiginous_Melanoma,True,2,"{'Acral_Lentiginous_Melanoma': 2, 'clubbing': 1}",64.05666666666666,63.22,64.75
Screen-Shot-2021-11-20-at-8-18-10-PM_png,Acral_Lentiginous_Melanoma,3,2,1,66.66666666666666,Acral_Lentiginous_Melanoma,True,2,"{'Acral_Lentiginous_Melanoma': 2, 'blue_finger': 1}",81.0,76.9,86.3
Screen-Shot-2021-11-22-at-10-05-11-PM_png,blue_finger,3,2,1,66.66666666666666,blue_finger,True,2,"{'blue_finger': 2, 'clubbing': 1}",63.42666666666667,46.12,79.06
Screen-Shot-2021-11-22-at-5-10-19-PM_png,blue_finger,3,2,1,66.66666666666666,blue_finger,True,2,"{'blue_finger': 2, 'clubbing': 1}",73.18,71.9,74.94
Screen-Shot-2021-11-22-at-5-13-05-PM_png,blue_finger,3,2,1,66.66666666666666,blue_finger,True,2,"{'blue_finger': 2, 'clubbing': 1}",66.63333333333334,57.1,79.8
Screen-Shot-2021-11-22-at-5-30-06-PM_png,blue_finger,3,2,1,66.66666666666666,blue_finger,True,2,"{'blue_finger': 2, 'clubbing': 1}",80.85000000000001,62.3,92.75
Screen-Shot-2021-11-22-at-8-55-16-PM_png,blue_finger,3,2,1,66.66666666666666,blue_finger,True,2,"{'blue_finger': 2, 'clubbing': 1}",62.779999999999994,50.94,69.3
Screenshot-2021-11-21-232633_png,Onychogryphosis,3,2,1,66.66666666666666,Onychogryphosis,True,2,"{'Onychogryphosis': 2, 'pitting': 1}",52.53333333333334,42.34,61.2
