model,true_class,source_group,images,correct_predictions,accuracy_percent
convnextv2_tiny,Acral_Lentiginous_Melanoma,Overlapping,104,104,100.0
convnextv2_tiny,Acral_Lentiginous_Melanoma,Unseen,9,9,100.0
convnextv2_tiny,Healthy_Nail,Overlapping,38,36,94.73684210526315
convnextv2_tiny,Healthy_Nail,Unseen,13,13,100.0
convnextv2_tiny,Onychogryphosis,Overlapping,100,98,98.0
convnextv2_tiny,Onychogryphosis,Unseen,4,2,50.0
convnextv2_tiny,blue_finger,Overlapping,85,84,98.82352941176471
convnextv2_tiny,blue_finger,Unseen,7,7,100.0
convnextv2_tiny,clubbing,Overlapping,94,93,98.93617021276596
convnextv2_tiny,clubbing,Unseen,24,24,100.0
convnextv2_tiny,pitting,Overlapping,84,84,100.0
convnextv2_tiny,pitting,Unseen,14,12,85.71428571428571
densenet121,Acral_Lentiginous_Melanoma,Overlapping,104,103,99.03846153846155
densenet121,Acral_Lentiginous_Melanoma,Unseen,9,9,100.0
densenet121,Healthy_Nail,Overlapping,38,38,100.0
densenet121,Healthy_Nail,Unseen,13,13,100.0
densenet121,Onychogryphosis,Overlapping,100,97,97.0
densenet121,Onychogryphosis,Unseen,4,3,75.0
densenet121,blue_finger,Overlapping,85,85,100.0
densenet121,blue_finger,Unseen,7,7,100.0
densenet121,clubbing,Overlapping,94,88,93.61702127659575
densenet121,clubbing,Unseen,24,24,100.0
densenet121,pitting,Overlapping,84,83,98.80952380952381
densenet121,pitting,Unseen,14,12,85.71428571428571
efficientnet_b0,Acral_Lentiginous_Melanoma,Overlapping,104,103,99.03846153846155
efficientnet_b0,Acral_Lentiginous_Melanoma,Unseen,9,9,100.0
efficientnet_b0,Healthy_Nail,Overlapping,38,36,94.73684210526315
efficientnet_b0,Healthy_Nail,Unseen,13,13,100.0
efficientnet_b0,Onychogryphosis,Overlapping,100,100,100.0
efficientnet_b0,Onychogryphosis,Unseen,4,2,50.0
efficientnet_b0,blue_finger,Overlapping,85,84,98.82352941176471
efficientnet_b0,blue_finger,Unseen,7,7,100.0
efficientnet_b0,clubbing,Overlapping,94,94,100.0
efficientnet_b0,clubbing,Unseen,24,23,95.83333333333334
efficientnet_b0,pitting,Overlapping,84,84,100.0
efficientnet_b0,pitting,Unseen,14,12,85.71428571428571
proposed_attention_efficientnet_b0,Acral_Lentiginous_Melanoma,Overlapping,104,102,98.07692307692307
proposed_attention_efficientnet_b0,Acral_Lentiginous_Melanoma,Unseen,9,9,100.0
proposed_attention_efficientnet_b0,Healthy_Nail,Overlapping,38,36,94.73684210526315
proposed_attention_efficientnet_b0,Healthy_Nail,Unseen,13,13,100.0
proposed_attention_efficientnet_b0,Onychogryphosis,Overlapping,100,100,100.0
proposed_attention_efficientnet_b0,Onychogryphosis,Unseen,4,3,75.0
proposed_attention_efficientnet_b0,blue_finger,Overlapping,85,83,97.6470588235294
proposed_attention_efficientnet_b0,blue_finger,Unseen,7,7,100.0
proposed_attention_efficientnet_b0,clubbing,Overlapping,94,92,97.87234042553192
proposed_attention_efficientnet_b0,clubbing,Unseen,24,24,100.0
proposed_attention_efficientnet_b0,pitting,Overlapping,84,84,100.0
proposed_attention_efficientnet_b0,pitting,Unseen,14,12,85.71428571428571
