model,true_class,Overlapping,Unseen,accuracy_gap_percentage_points
convnextv2_tiny,Acral_Lentiginous_Melanoma,100.0,100.0,0.0
convnextv2_tiny,Healthy_Nail,94.73684210526315,100.0,-5.26315789473685
convnextv2_tiny,Onychogryphosis,98.0,50.0,48.0
convnextv2_tiny,blue_finger,98.82352941176471,100.0,-1.17647058823529
convnextv2_tiny,clubbing,98.93617021276596,100.0,-1.0638297872340416
convnextv2_tiny,pitting,100.0,85.71428571428571,14.285714285714292
densenet121,Acral_Lentiginous_Melanoma,99.03846153846155,100.0,-0.9615384615384528
densenet121,Healthy_Nail,100.0,100.0,0.0
densenet121,Onychogryphosis,97.0,75.0,22.0
densenet121,blue_finger,100.0,100.0,0.0
densenet121,clubbing,93.61702127659575,100.0,-6.38297872340425
densenet121,pitting,98.80952380952381,85.71428571428571,13.095238095238102
efficientnet_b0,Acral_Lentiginous_Melanoma,99.03846153846155,100.0,-0.9615384615384528
efficientnet_b0,Healthy_Nail,94.73684210526315,100.0,-5.26315789473685
efficientnet_b0,Onychogryphosis,100.0,50.0,50.0
efficientnet_b0,blue_finger,98.82352941176471,100.0,-1.17647058823529
efficientnet_b0,clubbing,100.0,95.83333333333334,4.166666666666657
efficientnet_b0,pitting,100.0,85.71428571428571,14.285714285714292
proposed_attention_efficientnet_b0,Acral_Lentiginous_Melanoma,98.07692307692307,100.0,-1.923076923076934
proposed_attention_efficientnet_b0,Healthy_Nail,94.73684210526315,100.0,-5.26315789473685
proposed_attention_efficientnet_b0,Onychogryphosis,100.0,75.0,25.0
proposed_attention_efficientnet_b0,blue_finger,97.6470588235294,100.0,-2.352941176470594
proposed_attention_efficientnet_b0,clubbing,97.87234042553192,100.0,-2.1276595744680833
proposed_attention_efficientnet_b0,pitting,100.0,85.71428571428571,14.285714285714292
