Class,Precision,Recall,F1_Score,Specificity,Support,Model
Acral_Lentiginous_Melanoma,0.9658119658119658,1.0,0.982608695652174,0.9913606911447084,113,ConvNeXtV2-Tiny
Healthy_Nail,1.0,0.9607843137254902,0.98,1.0,51,ConvNeXtV2-Tiny
Onychogryphosis,1.0,0.9615384615384616,0.9803921568627452,1.0,104,ConvNeXtV2-Tiny
blue_finger,0.978494623655914,0.9891304347826086,0.9837837837837838,0.9958677685950412,92,ConvNeXtV2-Tiny
clubbing,0.9831932773109244,0.9915254237288136,0.9873417721518988,0.9956331877729258,118,ConvNeXtV2-Tiny
pitting,0.979591836734694,0.979591836734694,0.979591836734694,0.99581589958159,98,ConvNeXtV2-Tiny
Acral_Lentiginous_Melanoma,0.9655172413793104,0.991150442477876,0.9781659388646288,0.9913606911447084,113,DenseNet121
Healthy_Nail,1.0,1.0,1.0,1.0,51,DenseNet121
Onychogryphosis,0.99009900990099,0.9615384615384616,0.975609756097561,0.9978813559322034,104,DenseNet121
blue_finger,0.968421052631579,1.0,0.983957219251337,0.993801652892562,92,DenseNet121
clubbing,0.9739130434782608,0.9491525423728814,0.96137339055794,0.9934497816593888,118,DenseNet121
pitting,0.9693877551020408,0.9693877551020408,0.9693877551020408,0.9937238493723848,98,DenseNet121
Acral_Lentiginous_Melanoma,1.0,0.991150442477876,0.9955555555555556,1.0,113,EfficientNet-B0
Healthy_Nail,1.0,0.9607843137254902,0.98,1.0,51,EfficientNet-B0
Onychogryphosis,1.0,0.9807692307692308,0.9902912621359224,1.0,104,EfficientNet-B0
blue_finger,0.9578947368421052,0.9891304347826086,0.9732620320855616,0.9917355371900828,92,EfficientNet-B0
clubbing,0.975,0.9915254237288136,0.9831932773109244,0.9934497816593888,118,EfficientNet-B0
pitting,0.979591836734694,0.979591836734694,0.979591836734694,0.99581589958159,98,EfficientNet-B0
