True_Label,Predicted_Label,Correct,Probability_Acral_Lentiginous_Melanoma,Probability_Healthy_Nail,Probability_Onychogryphosis,Probability_blue_finger,Probability_clubbing,Probability_pitting,Confidence,Confidence_Percentage
clubbing,blue_finger,False,4.777301e-05,0.00034692968,1.4434828e-06,0.9837008,0.015862815,4.0309904e-05,0.9837008,98.37008
Onychogryphosis,clubbing,False,5.334303e-07,5.914125e-06,0.03062938,4.9474454e-07,0.96241164,0.006951947,0.96241164,96.241164
blue_finger,pitting,False,2.1194917e-07,1.833059e-07,2.311649e-06,0.052004874,0.00014246372,0.94784987,0.94784987,94.784987
pitting,Acral_Lentiginous_Melanoma,False,0.9393329,0.0012453177,0.022136582,0.0019013816,0.00021530864,0.035168566,0.9393329,93.93329
Healthy_Nail,blue_finger,False,0.061078865,0.00036740047,0.010297411,0.91842556,0.0052638236,0.0045670085,0.91842556,91.842556
Acral_Lentiginous_Melanoma,blue_finger,False,0.144967,6.627539e-08,7.498532e-09,0.8550309,2.0095245e-06,1.6263051e-09,0.8550309,85.50309
Acral_Lentiginous_Melanoma,clubbing,False,0.20193337,0.010428679,0.0062399646,0.00020474431,0.77980864,0.0013845616,0.77980864,77.98086400000001
Healthy_Nail,blue_finger,False,0.044503402,0.19568676,0.00065274036,0.6827203,0.047026012,0.02941085,0.6827203,68.27203
clubbing,Onychogryphosis,False,0.016333068,0.0006110067,0.5528966,0.00017379363,0.42788342,0.002102062,0.5528966,55.28966
pitting,Acral_Lentiginous_Melanoma,False,0.53701794,0.022314347,0.016563881,0.049461327,0.0006366475,0.37400582,0.53701794,53.701794
blue_finger,Onychogryphosis,False,0.04789379,0.037611976,0.5012693,0.39760706,0.014614615,0.0010032041,0.5012693,50.12693
