image_path,true_class,baseline_prediction,proposed_prediction,baseline_confidence,proposed_confidence,baseline_correct,proposed_correct,same_prediction,confidence_difference
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-16-at-7-16-43-PM_png.rf.7e13e8110130f7cba18e1cc3d749e32d.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.9434587,0.99926966,True,True,True,0.055810959999999965
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-16-at-7-16-43-PM_png.rf.8f156a1c22f337fff0147c8e87829c67.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.9371514,0.9998431,True,True,True,0.06269170000000002
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-19-at-2-12-47-AM_png.rf.af605b32b8c090599dc185f4aac29390.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.9185991,0.99140704,True,True,True,0.07280794000000002
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-19-at-2-12-47-AM_png.rf.f04281edd2ddc4fcb10e3617650978fc.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.93696916,0.9997247,True,True,True,0.06275554000000005
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-10-25-02-PM_png.rf.787055924f2b6480dea89f2588fb3b37.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.94334835,0.9986702,True,True,True,0.055321850000000006
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-8-08-29-PM_png.rf.c49acb28bc7afaaf6a6b53c24dfa1dcc.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.94141346,0.9999815,True,True,True,0.05856803999999993
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-8-10-21-PM_png.rf.31e544d37ad8a522815ec1ae2b00ec7e.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.923,0.87399995,True,True,True,-0.04900005000000007
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-8-28-59-PM_png.rf.0bea19500f8b69b961a6c6a79017704f.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.94279045,0.9974624,True,True,True,0.054671950000000025
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-8-29-24-PM_png.rf.6cf07d1e9803394a8a589e241a272ab8.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.94345486,0.9998467,True,True,True,0.05639183999999997
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h141_png.rf.0510aaee32ef8560e7cc658e8cd53e83.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.9791946,0.9999995,True,True,True,0.020804900000000015
