image_path,true_class,baseline_prediction,proposed_prediction,baseline_confidence,proposed_confidence,baseline_correct,proposed_correct,confidence_difference
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-16-at-7-16-43-PM_png.rf.7e13e8110130f7cba18e1cc3d749e32d.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.94502413,0.99926966,True,True,0.054245529999999986
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-16-at-7-16-43-PM_png.rf.8f156a1c22f337fff0147c8e87829c67.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.9333614,0.9998431,True,True,0.06648169999999998
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-19-at-2-12-47-AM_png.rf.af605b32b8c090599dc185f4aac29390.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.9181396,0.99140704,True,True,0.07326744000000007
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-19-at-2-12-47-AM_png.rf.f04281edd2ddc4fcb10e3617650978fc.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.9378957,0.9997247,True,True,0.06182900000000002
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-10-25-02-PM_png.rf.787055924f2b6480dea89f2588fb3b37.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.91016364,0.9986702,True,True,0.0885065599999999
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-8-08-29-PM_png.rf.c49acb28bc7afaaf6a6b53c24dfa1dcc.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.9262821,0.9999815,True,True,0.07369939999999997
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-8-10-21-PM_png.rf.31e544d37ad8a522815ec1ae2b00ec7e.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.8607359,0.87399995,True,True,0.013264049999999972
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-8-28-59-PM_png.rf.0bea19500f8b69b961a6c6a79017704f.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.963908,0.9974624,True,True,0.033554399999999984
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Acral_Lentiginous_Melanoma\Screen-Shot-2021-11-20-at-8-29-24-PM_png.rf.6cf07d1e9803394a8a589e241a272ab8.jpg,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,Acral_Lentiginous_Melanoma,0.9498899,0.9998467,True,True,0.04995680000000002
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h141_png.rf.0510aaee32ef8560e7cc658e8cd53e83.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.9553861,0.9999995,True,True,0.044613400000000025
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h141_png.rf.346abfd529845353266b5e9370558e8d.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.94117117,0.99978524,True,True,0.058614070000000074
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h174_png.rf.c095281995d82f165c0a95227e62e282.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.91443145,0.99999964,True,True,0.08556818999999993
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h183_png.rf.0913ad03f9e3335bd99d568cd6890fbc.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.8715753,0.9999993,True,True,0.12842399999999998
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h183_png.rf.29bfe60873ddb26daf1a08f04172d1fb.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.9725748,0.9999995,True,True,0.02742470000000008
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h188_png.rf.fef821d12b34074953ae66f15eea9bd1.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.8765739,0.99999785,True,True,0.12342394999999995
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h198_png.rf.4b0dc37f37a55cb453d7cab97297d74d.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.97666866,0.999961,True,True,0.023292340000000022
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h198_png.rf.c5b93f9355e168321af43179bc94f9d0.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.9745899,0.99995995,True,True,0.025370050000000033
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h251_png.rf.f90e932f96280e47669a748a805ca65a.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.9364029,0.99991274,True,True,0.06350983999999993
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h279_png.rf.027bd495aee5613783a74fded98bea91.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.8848595,0.99999845,True,True,0.11513894999999996
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h46_png.rf.141839ec8f4de29255c1a25e61eb4ef6.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.95593554,1.0,True,True,0.04406445999999997
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h58_png.rf.4fa3217d68dbf56a8e3fe4da5806f925.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.98837334,0.9999608,True,True,0.011587459999999994
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Healthy_Nail\h58_png.rf.54eb6d3ba2631938b145b467aa3aa4a3.jpg,Healthy_Nail,Healthy_Nail,Healthy_Nail,0.98428625,0.99999917,True,True,0.01571292000000002
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Onychogryphosis\Screenshot-2021-11-19-010751_png.rf.473f756cacc344e3df9cdd969706b279.jpg,Onychogryphosis,Onychogryphosis,Onychogryphosis,0.90884453,1.0,True,True,0.09115547000000002
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Onychogryphosis\Screenshot-2021-11-19-010751_png.rf.b74e43fbeb9ad7f74057c574a4dabfc2.jpg,Onychogryphosis,Onychogryphosis,Onychogryphosis,0.7773923,0.9998481,True,True,0.22245579999999998
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Onychogryphosis\Screenshot-2021-11-19-020122_png.rf.976bcc8def79d682a075beeb616443f6.jpg,Onychogryphosis,clubbing,clubbing,0.63925946,0.96241164,False,False,0.32315218
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\Onychogryphosis\Screenshot-2021-11-19-020122_png.rf.f6e29d323eae406d6256206434056988.jpg,Onychogryphosis,Onychogryphosis,Onychogryphosis,0.5747407,0.7099145,True,True,0.1351738
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\blue_finger\Screen-Shot-2021-11-22-at-10-09-58-PM_png.rf.ed3e4c485a4cb3f6af073a31b1ce112e.jpg,blue_finger,blue_finger,blue_finger,0.9221461,0.99990463,True,True,0.07775852999999999
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\blue_finger\Screen-Shot-2021-11-22-at-10-09-58-PM_png.rf.f357adca933ff843d33f651fea90a597.jpg,blue_finger,blue_finger,blue_finger,0.902264,0.99999046,True,True,0.09772646000000007
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\blue_finger\Screen-Shot-2021-11-22-at-5-11-17-PM_png.rf.466a3c2438e2b92c3ad377ac73a85da6.jpg,blue_finger,blue_finger,blue_finger,0.95909727,0.9998996,True,True,0.04080233
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\blue_finger\Screen-Shot-2021-11-22-at-5-27-22-PM_png.rf.5d0d94967de6ec88184d00d361245754.jpg,blue_finger,blue_finger,blue_finger,0.7131139,0.9600528,True,True,0.24693890000000007
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\blue_finger\Screen-Shot-2021-11-22-at-5-27-22-PM_png.rf.ddf028f68cbeef3978069e3df0fb9e65.jpg,blue_finger,blue_finger,blue_finger,0.87307495,0.98202217,True,True,0.10894722000000001
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\blue_finger\Screen-Shot-2021-11-22-at-9-15-03-PM_png.rf.0ca2b665877c5ea8efe18dd32b984fb0.jpg,blue_finger,blue_finger,blue_finger,0.8924797,0.9998877,True,True,0.10740800000000006
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\blue_finger\Screen-Shot-2021-11-22-at-9-48-08-PM_png.rf.b8d10c7bcecb25a76368119160145050.jpg,blue_finger,blue_finger,blue_finger,0.90115225,0.99996805,True,True,0.09881580000000001
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\clubbing\Screen-Shot-2021-10-26-at-12-18-14-PM_png.rf.a1c111dcf95d2ace421b0247b930ee4d.jpg,clubbing,clubbing,clubbing,0.9168115,0.9999989,True,True,0.08318740000000002
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\clubbing\Screen-Shot-2021-10-26-at-12-18-14-PM_png.rf.aaecc0ac15292ccbd8fb3c73e10f73cc.jpg,clubbing,clubbing,clubbing,0.85582674,0.9999999,True,True,0.14417316000000002
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\clubbing\Screen-Shot-2021-11-22-at-10-08-26-AM_png.rf.992852a9de4863cbb6c6bb2fc8ef7925.jpg,clubbing,clubbing,clubbing,0.9142288,0.9999994,True,True,0.08577060000000003
C:\Users\venka\Documents\Project\data\evaluation\unseen_source_test\clubbing\Screen-Shot-2021-11-22-at-10-08-26-AM_png.rf.e3f3a71763229d71ad20488913be885b.jpg,clubbing,clubbing,clubbing,0.9218249,0.9999838,True,True,0.07815890000000003
