bin_lower,bin_upper,sample_count,average_confidence,accuracy,calibration_gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,1,0.3814958333969116,1.0,-0.6185041666030884
0.4,0.5,3,0.48526205619176227,0.6666666666666666,-0.18140461047490436
0.5,0.6000000000000001,8,0.541333757340908,0.625,-0.08366624265909195
0.6000000000000001,0.7000000000000001,0,,,
0.7000000000000001,0.8,4,0.7311059832572937,0.75,-0.0188940167427063
0.8,0.9,9,0.8602640761269463,0.8888888888888888,-0.02862481276194251
0.9,1.0,46,0.9391743385273478,1.0,-0.060825661472652226
